lib_epci,hommes_moins_de_25_ans,hommes_25_a_49_ans,hommes_plus_de_50_ans,total_hommes,femmes_moins_de_25_ans,femmes_25_a_49_ans,femmes_plus_de_50_ans,total_femmes,diplome_niv_1_2,diplome_niv_3,diplome_niv_4,diplome_niv_5,diplome_niv_5_bis,diplome_niv_6,diplome_indetermine,total_categorie_a
CC du Chemin des Dames,20,88,49,157,23,74,40,137,19,20,49,145,34,27,",",294
CC du Châtillonnais en Berry,37,70,37,144,19,57,48,124,12,22,48,141,24,21,",",268
CC du Civraisien en Poitou,116,275,144,535,79,229,135,443,s.s,90,167,494,69,76,s.s,978
CC du Clermontais,172,602,307,1081,128,601,282,1011,s.s,221,479,922,140,164,s.s,2092
CC du Clermontois,167,537,181,885,140,445,165,750,111,150,366,677,151,167,13,1635
CC du Clunisois,34,132,61,227,33,115,74,222,s.s,60,90,176,16,42,s.s,449
CC du Confluent et des Coteaux de Prayssas,73,302,191,566,66,357,186,609,s.s,83,184,398,89,352,s.s,1175
CC du Cordais et du Causse (4 C),15,66,56,137,s.s,68,s.s,114,45,29,62,91,s.s,14,s.s,251
CC du Crestois et de Pays de Saillans Coeur de Drôme,88,364,159,611,57,318,163,538,s.s,132,223,411,72,118,s.s,1149
CC du Créonnais,66,220,99,385,55,246,110,411,s.s,106,179,328,41,50,s.s,796
CC du Cubzaguais,123,513,186,822,126,677,250,1053,s.s,170,412,869,99,165,s.s,1875
CC du Diois,43,281,151,475,32,268,124,424,s.s,128,256,260,28,49,s.s,899
CC du District Urbain de Faulquemont (Duf),98,320,136,554,83,287,168,538,s.s,103,244,502,72,88,s.s,1092
CC du Doubs Baumois,52,173,98,323,29,162,88,279,s.s,47,108,286,38,72,s.s,602
CC du Fronsadais,62,210,86,358,49,268,120,437,s.s,85,164,345,46,80,s.s,795
CC du Frontonnais,74,236,132,442,78,312,142,532,s.s,130,220,367,59,66,s.s,974
CC du Genevois,104,708,288,1100,85,740,240,1065,438,281,450,736,94,149,17,2165
