Code EPCI,Libellé EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
200066868.0,CC Presqu'île de Crozon-Aulne maritime,1160,264,499,106,102
200066876.0,CA de Châlons-en-Champagne,3830,992,1716,408,385
200066884.0,CC Quercy Vert-Aveyron,1104,270,543,126,125
200066892.0,CC de Vendeuvre-Soulaines,338,95,203,27,37
200066918.0,CA Alès Agglomération,9693,1628,2864,693,1052
200066926.0,CA Grand Auch Coeur de Gascogne,1635,361,758,166,322
200066975.0,CC Senlis Sud Oise,924,207,354,92,116
200067023.0,CC Coutances Mer et Bocage,1644,560,1001,170,182
200067031.0,CC Côte Ouest Centre Manche,754,236,564,68,77
200067049.0,CC Spelunca-Liamone,666,40,48,14,30
200067064.0,CC Decazeville Communauté,791,185,329,126,78
200067072.0,CC Haut-Léon Communauté,1436,355,755,156,187
200067080.0,"CC Chablis, Villages et Terroirs",487,117,263,54,60
200067106.0,CA du Pays Basque,14839,4014,6836,1758,2665
200067114.0,CA de l'Auxerrois,3020,685,1365,356,297
200067122.0,CC Coteaux et Plaines du Pays Lafrançaisain,525,130,284,66,54
200067130.0,CC de Puisaye-Forterre,1349,317,575,92,153
200067155.0,"CC Saint Affricain, Roquefort, Sept Vallons",573,123,256,81,49
200067163.0,"CC Monts, Rance et Rougier",237,58,103,27,22
200067171.0,"CC Aubrac, Carladez et Viadène",252,64,95,18,48
200067189.0,CC Creuse Sud Ouest,573,153,216,44,65
200067197.0,CC Monts d'Arrée Communauté,397,104,177,25,36
200067205.0,CA du Cotentin,6591,1731,3546,713,621
200067213.0,CU du Grand Reims,15556,3671,6538,1529,1634
200067221.0,CC Centre Morbihan Communauté,1671,456,1033,220,227
200067239.0,CC des Luys en Béarn,883,288,618,152,125
200067247.0,CC Pleyben-Châteaulin-Porzay,950,232,571,128,92
200067254.0,CA Pau Béarn Pyrénées,7680,2133,3919,1175,754
200067262.0,CC du Haut-Béarn,1480,448,684,160,244
200067288.0,CC du Béarn des Gaves,673,182,324,67,143
200067296.0,CC du Nord Est Béarn,1088,308,684,140,156
200067304.0,CC Serein et Armance,1056,234,573,89,80
200067320.0,CC Serre-Ponçon Val d'Avance,348,118,197,41,24
200067346.0,CA Pornic Agglo Pays de Retz,2542,684,1496,252,301
200067361.0,CC Grand-Figeac,1759,453,697,188,276
200067379.0,CC Côtes de Champagne et Val de Saulx,439,133,275,54,68
200067429.0,CC Haut Nivernais-Val d'Yonne,459,89,212,27,73
200067437.0,CA Provence-Alpes-Agglomération,2883,578,1122,297,190
200067445.0,CC Buëch-Dévoluy,437,154,266,58,37
200067452.0,CC du Guillestrois et du Queyras,283,230,455,28,53
200067460.0,CC Loudéac Communauté - Bretagne Centre,2073,446,1267,244,163
200067478.0,CC Comtal Lot et Truyère,536,146,288,48,86
200067486.0,CC Bouzonvillois-Trois Frontières,883,164,355,68,75
200067502.0,CA Saint-Avold Synergie,2926,568,1226,287,171
200067510.0,CC Monts et Vallées Ouest Creuse,896,216,364,90,105
200067544.0,CC Creuse Confluence,704,160,303,67,79
200067551.0,CA Thonon Agglomération,4419,805,1633,292,468
200067593.0,CC Marche et Combraille en Aquitaine,528,116,218,36,79
200067627.0,CC Billom Communauté,955,217,603,96,112
200067635.0,CA Clisson Sèvre et Maine Agglo,1568,608,1382,240,335
200067643.0,"CC Meurthe, Mortagne, Moselle",659,143,320,92,66
200067650.0,CC Houve-Pays Boulageois,765,203,446,87,95
200067668.0,"CC de la Cléry, du Betz et de l'Ouanne",1029,213,447,62,62
200067676.0,CC Canaux et Forêts en Gâtinais,1301,258,609,95,107
200067684.0,"CA Épernay, Coteaux et Plaine de Champagne",2218,648,1144,241,262
200067692.0,CC Tannay-Brinon-Corbigny,344,73,123,19,46
200067700.0,CC Sud Nivernais,728,153,427,87,56
