code_epci,lib_epci,anc_moins_3_mois,anc_3_a_5_mois,anc_6_a_11_mois,anc_12_a_23_mois,anc_24_a_35_mois,anc_plus_36_mois,total
200071058.0,CC Les Avant-Monts,497,386,441,549,292,438,2603
200068542.0,CC Les Balcons du Dauphiné,1146,900,973,1163,571,629,5382
200023125.0,CC Les Portes Briardes entre Villes et Forêts,600,482,464,546,271,343,2706
200071074.0,CC Les Portes de l'Ile de France,314,280,293,330,185,248,1650
241800432.0,CC Les Trois Provinces,71,60,59,87,41,87,405
200068567.0,CC Les Vals du Dauphiné,984,758,815,1023,439,584,4603
247300817.0,CC Les Versants d'Aime,187,116,182,104,40,40,669
241800325.0,CC Les Villages de la Forêt,74,49,54,82,35,84,378
200068807.0,CC Lèze Ariège,502,461,457,563,257,455,2695
200066017.0,CC Lieuvin Pays d'Auge,265,224,245,309,150,263,1456
243500774.0,CC Liffré-Cormier Communauté,290,245,266,358,142,203,1504
200071587.0,CC Loches Sud Touraine,740,631,680,866,378,660,3955
200017341.0,CC Lodévois et Larzac,345,270,302,394,197,276,1784
245801063.0,CC Loire et Allier,80,60,67,66,34,43,350
244301131.0,CC Loire et Semène,285,229,248,276,140,230,1408
200071553.0,CC Loire Layon Aubance,720,671,651,795,381,743,3961
200068088.0,"CC Loire, Nièvre et Bertranges",230,170,193,289,150,228,1260
200067916.0,"CC Loire, Vignobles et Nohain",335,279,261,413,197,307,1792
200070373.0,CC Loir-Lucé-Bercé,360,313,325,388,210,418,2014
247700644.0,CC l'Orée de la Brie,352,327,300,348,146,170,1643
244701405.0,CC Lot et Tolzac,120,82,104,153,62,104,625
200067460.0,CC Loudéac Communauté - Bretagne Centre,803,646,696,802,390,548,3885
200040475.0,CC Loué - Brûlon - Noyen,264,219,211,294,155,214,1357
200068070.0,CC Loue-Lison,300,214,247,320,165,190,1436
243800935.0,CC Lyon Saint-Éxupéry-en-Dauphiné,451,363,437,472,234,274,2231
200070142.0,CC Lyons Andelle,284,229,306,390,202,373,1784
200069698.0,CC Mâconnais - Tournugeois,254,168,229,274,154,200,1279
200070738.0,CC Mad et Moselle,214,209,208,262,145,203,1241
200068963.0,CC Maine Coeur de Sarthe,231,206,230,251,132,252,1302
200072676.0,CC Maine Saosnois,441,352,399,476,237,401,2306
200035137.0,CC Marche Occitane - Val d'Anglin,95,76,69,94,50,65,449
200073427.0,CC Marches du Velay-Rochebaron,457,366,411,460,224,384,2302
244000865.0,CC Maremne Adour Côte Sud,2117,1113,1010,1403,657,878,7178
247300452.0,CC Maurienne Galibier,65,57,75,61,30,26,314
200055887.0,CC Mayenne Communauté,454,435,375,454,228,325,2271
200027100.0,CC Méditerranée Porte des Maures,1128,610,633,825,446,651,4293
200070720.0,CC Médoc Atlantique,742,457,412,646,365,547,3169
200069995.0,CC Médoc Coeur de Presqu'ile,705,549,525,739,381,519,3418
243301447.0,CC Médoc Estuaire,399,343,362,417,237,299,2057
243301389.0,CC Médullienne,336,244,263,352,187,249,1631
200069755.0,CC Mellois-en-Poitou,625,463,488,659,363,455,3053
200067643.0,"CC Meurthe, Mortagne, Moselle",209,164,189,246,138,228,1174
200069664.0,CC Meuse Rognon,116,110,130,152,51,120,679
200073401.0,CC Mézenc-Loire-Meygal,142,116,130,137,68,97,690
200066769.0,CC Midi Corrézien,181,127,161,179,108,160,916
200066348.0,CC Minervois Saint-Ponais Orb-Jaur,280,201,199,297,174,291,1442
200072825.0,CC Mirebellois et Fontenois,116,127,117,142,67,114,683
200069177.0,CC Mond'Arverne Communauté,445,396,383,534,256,441,2455
200069128.0,CC Mont Lozère,85,56,54,71,34,58,358
